"28" ,10 ,"Fremont" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"DERAE T. FILLMORE" ,"280011" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"DERAE T. FILLMORE" ,"280011" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"DERAE T. FILLMORE" ,"280011" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"DERAE T. FILLMORE" ,"280011" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"DERAE T. FILLMORE" ,"280011" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"DERAE T. FILLMORE" ,"280011" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"RANDY AUSTIN" ,"280012" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"RANDY AUSTIN" ,"280012" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"RANDY AUSTIN" ,"280012" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"RANDY AUSTIN" ,"280012" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"RANDY AUSTIN" ,"280012" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"RANDY AUSTIN" ,"280012" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM A" ,"280010" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"STANLEY W. WOOD" ,"280021" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"STANLEY W. WOOD" ,"280021" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"STANLEY W. WOOD" ,"280021" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"STANLEY W. WOOD" ,"280021" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"STANLEY W. WOOD" ,"280021" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"STANLEY W. WOOD" ,"280021" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"ROBERT G. WILLIAMS" ,"280022" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"ROBERT G. WILLIAMS" ,"280022" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"ROBERT G. WILLIAMS" ,"280022" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"ROBERT G. WILLIAMS" ,"280022" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"ROBERT G. WILLIAMS" ,"280022" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"ROBERT G. WILLIAMS" ,"280022" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Write-in " ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Write-in " ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Write-in " ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Write-in " ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Write-in " ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY COMM B" ,"280020" ,"NP" ,"Write-in " ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"CAROLYN L. MOOSMAN" ,"280031" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"CAROLYN L. MOOSMAN" ,"280031" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"CAROLYN L. MOOSMAN" ,"280031" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"CAROLYN L. MOOSMAN" ,"280031" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"CAROLYN L. MOOSMAN" ,"280031" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"CAROLYN L. MOOSMAN" ,"280031" ,"DEM" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY ASSESSOR" ,"280030" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"RYAN TORGERSON" ,"280041" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"RYAN TORGERSON" ,"280041" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"RYAN TORGERSON" ,"280041" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"RYAN TORGERSON" ,"280041" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"RYAN TORGERSON" ,"280041" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"RYAN TORGERSON" ,"280041" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY CLERK/AUDITOR" ,"280040" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"COLLEEN BRINKERHOFF" ,"280051" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"COLLEEN BRINKERHOFF" ,"280051" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"COLLEEN BRINKERHOFF" ,"280051" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"COLLEEN BRINKERHOFF" ,"280051" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"COLLEEN BRINKERHOFF" ,"280051" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"COLLEEN BRINKERHOFF" ,"280051" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY TREASURER/RECORDER" ,"280050" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"KURT R. TAYLOR" ,"280061" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"KURT R. TAYLOR" ,"280061" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"KURT R. TAYLOR" ,"280061" ,"REP" ,0 ,
"28" ,50 ,"Lyman 2" ,"COUNTY SHERIFF" ,"280060" ,"NP" ,"KURT R. TAYLOR" ,"280061" ,"REP" ,0 ,
