"1" ,10 ,"Beaver #1" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,654 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,37 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,21 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,5 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,64 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,221 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,79 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,12 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,1 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,313 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,7 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,3 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,10 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,4 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,4 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,654 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,242 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,88 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,16 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,347 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Registered Voters" ,"" ,"NP" ,654 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"MIKE NOEL" ,"301901" ,"REP" ,250 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"MIKE NOEL" ,"301901" ,"REP" ,95 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"MIKE NOEL" ,"301901" ,"REP" ,16 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"MIKE NOEL" ,"301901" ,"REP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"MIKE NOEL" ,"301901" ,"REP" ,362 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Write-in 30" ,"" ,"NP" ,3 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Write-in 30" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"STATE REP D73" ,"301900" ,"NP" ,"Write-in 30" ,"" ,"NP" ,4 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,654 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"WILLIAM DALTON" ,"010010" ,"REP" ,245 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"WILLIAM DALTON" ,"010010" ,"REP" ,87 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"WILLIAM DALTON" ,"010010" ,"REP" ,17 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"WILLIAM DALTON" ,"010010" ,"REP" ,2 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"WILLIAM DALTON" ,"010010" ,"REP" ,351 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,4 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,4 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM A" ,"010000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,8 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,654 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"DONALD J. WILLDEN" ,"010120" ,"REP" ,118 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"DONALD J. WILLDEN" ,"010120" ,"REP" ,54 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"DONALD J. WILLDEN" ,"010120" ,"REP" ,9 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"DONALD J. WILLDEN" ,"010120" ,"REP" ,2 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"DONALD J. WILLDEN" ,"010120" ,"REP" ,183 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"MARK S. WHITNEY" ,"010110" ,"NP" ,152 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"MARK S. WHITNEY" ,"010110" ,"NP" ,48 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"MARK S. WHITNEY" ,"010110" ,"NP" ,8 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"MARK S. WHITNEY" ,"010110" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"MARK S. WHITNEY" ,"010110" ,"NP" ,208 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,4 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,2 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY COMM B" ,"010100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,6 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,654 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"PAUL B. BARTON" ,"010210" ,"DEM" ,171 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"PAUL B. BARTON" ,"010210" ,"DEM" ,73 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"PAUL B. BARTON" ,"010210" ,"DEM" ,13 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"PAUL B. BARTON" ,"010210" ,"DEM" ,2 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"PAUL B. BARTON" ,"010210" ,"DEM" ,259 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"HAL RAY LESSING" ,"010220" ,"REP" ,110 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"HAL RAY LESSING" ,"010220" ,"REP" ,34 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"HAL RAY LESSING" ,"010220" ,"REP" ,4 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"HAL RAY LESSING" ,"010220" ,"REP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"HAL RAY LESSING" ,"010220" ,"REP" ,148 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY CLERK/AUDITOR" ,"010200" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,20 ,"Beaver #2" ,"COUNTY RECORDER" ,"010300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY RECORDER" ,"010300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY RECORDER" ,"010300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY RECORDER" ,"010300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,20 ,"Beaver #2" ,"COUNTY RECORDER" ,"010300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
