"22" ,10 ,"Abraham" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,466 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"NORMA BRUNSON" ,"140051" ,"DEM" ,141 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"NORMA BRUNSON" ,"140051" ,"DEM" ,42 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"NORMA BRUNSON" ,"140051" ,"DEM" ,14 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"NORMA BRUNSON" ,"140051" ,"DEM" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"NORMA BRUNSON" ,"140051" ,"DEM" ,197 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"DAVID W. CARSON" ,"140054" ,"REP" ,86 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"DAVID W. CARSON" ,"140054" ,"REP" ,19 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"DAVID W. CARSON" ,"140054" ,"REP" ,6 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"DAVID W. CARSON" ,"140054" ,"REP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"DAVID W. CARSON" ,"140054" ,"REP" ,111 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY CLERK" ,"310100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,466 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"CONNIE K. HANSEN" ,"140061" ,"REP" ,212 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"CONNIE K. HANSEN" ,"140061" ,"REP" ,55 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"CONNIE K. HANSEN" ,"140061" ,"REP" ,17 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"CONNIE K. HANSEN" ,"140061" ,"REP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"CONNIE K. HANSEN" ,"140061" ,"REP" ,284 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Write-in 20" ,"" ,"NP" ,2 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY RECORDER" ,"310120" ,"NP" ,"Write-in 20" ,"" ,"NP" ,3 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Registered Voters" ,"" ,"NP" ,466 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"ROBERT A. DEKKER" ,"140071" ,"DEM" ,95 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"ROBERT A. DEKKER" ,"140071" ,"DEM" ,26 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"ROBERT A. DEKKER" ,"140071" ,"DEM" ,13 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"ROBERT A. DEKKER" ,"140071" ,"DEM" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"ROBERT A. DEKKER" ,"140071" ,"DEM" ,134 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"DON PONTON" ,"140074" ,"REP" ,132 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"DON PONTON" ,"140074" ,"REP" ,35 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"DON PONTON" ,"140074" ,"REP" ,7 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"DON PONTON" ,"140074" ,"REP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"DON PONTON" ,"140074" ,"REP" ,174 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY SHERIFF" ,"310140" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Registered Voters" ,"" ,"NP" ,466 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"JOHN L. HANSEN" ,"140081" ,"REP" ,214 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"JOHN L. HANSEN" ,"140081" ,"REP" ,59 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"JOHN L. HANSEN" ,"140081" ,"REP" ,17 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"JOHN L. HANSEN" ,"140081" ,"REP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"JOHN L. HANSEN" ,"140081" ,"REP" ,290 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Write-in 20" ,"" ,"NP" ,2 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"COUNTY TREASURER" ,"310160" ,"NP" ,"Write-in 20" ,"" ,"NP" ,3 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,466 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"YES" ,"302124" ,"NP" ,166 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"YES" ,"302124" ,"NP" ,32 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"YES" ,"302124" ,"NP" ,12 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"YES" ,"302124" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"YES" ,"302124" ,"NP" ,210 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"NO" ,"302121" ,"NP" ,45 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"NO" ,"302121" ,"NP" ,24 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"NO" ,"302121" ,"NP" ,4 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"NO" ,"302121" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"APPEALS COURT - W. THORNE, JR" ,"302120" ,"NP" ,"NO" ,"302121" ,"NP" ,73 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,466 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"YES" ,"302604" ,"NP" ,154 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"YES" ,"302604" ,"NP" ,33 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"YES" ,"302604" ,"NP" ,12 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"YES" ,"302604" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"YES" ,"302604" ,"NP" ,199 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"NO" ,"302601" ,"NP" ,63 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"NO" ,"302601" ,"NP" ,26 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"NO" ,"302601" ,"NP" ,5 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"NO" ,"302601" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - EYRE, JR" ,"302600" ,"NP" ,"NO" ,"302601" ,"NP" ,94 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"Registered Voters" ,"" ,"NP" ,466 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"YES" ,"302624" ,"NP" ,161 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"YES" ,"302624" ,"NP" ,35 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"YES" ,"302624" ,"NP" ,13 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"YES" ,"302624" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"YES" ,"302624" ,"NP" ,209 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"NO" ,"302621" ,"NP" ,47 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"NO" ,"302621" ,"NP" ,22 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"NO" ,"302621" ,"NP" ,3 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"NO" ,"302621" ,"NP" ,0 ,
"22" ,60 ,"Fillmore 2" ,"DISTRICT COURT - HOWARD" ,"302620" ,"NP" ,"NO" ,"302621" ,"NP" ,72 ,
