"26" ,10 ,"Heber 1.1 " ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,137 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"BRENT R. TITCOMB" ,"260110" ,"REP" ,50 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"BRENT R. TITCOMB" ,"260110" ,"REP" ,19 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"BRENT R. TITCOMB" ,"260110" ,"REP" ,6 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"BRENT R. TITCOMB" ,"260110" ,"REP" ,75 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY CLERK/AUDITOR" ,"276000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,137 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"DAVID C. REMINGTON" ,"260120" ,"REP" ,18 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"DAVID C. REMINGTON" ,"260120" ,"REP" ,4 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"DAVID C. REMINGTON" ,"260120" ,"REP" ,4 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"DAVID C. REMINGTON" ,"260120" ,"REP" ,26 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"ELIZABETH PALMIER" ,"260130" ,"DEM" ,37 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"ELIZABETH PALMIER" ,"260130" ,"DEM" ,18 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"ELIZABETH PALMIER" ,"260130" ,"DEM" ,2 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"ELIZABETH PALMIER" ,"260130" ,"DEM" ,57 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Write-in 30" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY RECORDER" ,"277000" ,"NP" ,"Write-in 30" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,137 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"TODD BONNER" ,"260140" ,"REP" ,49 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"TODD BONNER" ,"260140" ,"REP" ,16 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"TODD BONNER" ,"260140" ,"REP" ,6 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"TODD BONNER" ,"260140" ,"REP" ,71 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY SHERIFF" ,"278000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,137 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"JAMES C. KAISERMAN" ,"260150" ,"REP" ,44 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"JAMES C. KAISERMAN" ,"260150" ,"REP" ,16 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"JAMES C. KAISERMAN" ,"260150" ,"REP" ,5 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"JAMES C. KAISERMAN" ,"260150" ,"REP" ,65 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY SURVEYOR" ,"279000" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,137 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"KARL MCDONALD" ,"260160" ,"REP" ,24 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"KARL MCDONALD" ,"260160" ,"REP" ,10 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"KARL MCDONALD" ,"260160" ,"REP" ,5 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"KARL MCDONALD" ,"260160" ,"REP" ,39 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"GLADYS DUKE STEVENS" ,"260170" ,"DEM" ,31 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"GLADYS DUKE STEVENS" ,"260170" ,"DEM" ,12 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"GLADYS DUKE STEVENS" ,"260170" ,"DEM" ,1 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"GLADYS DUKE STEVENS" ,"260170" ,"DEM" ,44 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COUNTY TREASURER" ,"280000" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"Registered Voters" ,"" ,"NP" ,137 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"YES" ,"302124" ,"NP" ,40 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"YES" ,"302124" ,"NP" ,14 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"YES" ,"302124" ,"NP" ,2 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"YES" ,"302124" ,"NP" ,56 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"NO" ,"302121" ,"NP" ,7 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"NO" ,"302121" ,"NP" ,2 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"NO" ,"302121" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"COURT OF APPEALS - W. THORNE, JR" ,"302120" ,"NP" ,"NO" ,"302121" ,"NP" ,10 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,137 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"YES" ,"302604" ,"NP" ,32 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"YES" ,"302604" ,"NP" ,18 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"YES" ,"302604" ,"NP" ,2 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"YES" ,"302604" ,"NP" ,52 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"NO" ,"302601" ,"NP" ,12 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"NO" ,"302601" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"NO" ,"302601" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - EYRE, JR." ,"302600" ,"NP" ,"NO" ,"302601" ,"NP" ,13 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"Registered Voters" ,"" ,"NP" ,137 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"YES" ,"302624" ,"NP" ,33 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"YES" ,"302624" ,"NP" ,17 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"YES" ,"302624" ,"NP" ,2 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"YES" ,"302624" ,"NP" ,52 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"NO" ,"302621" ,"NP" ,12 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"NO" ,"302621" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"NO" ,"302621" ,"NP" ,3 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - HOWARD " ,"302620" ,"NP" ,"NO" ,"302621" ,"NP" ,16 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"Registered Voters" ,"" ,"NP" ,137 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"YES" ,"302544" ,"NP" ,32 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"YES" ,"302544" ,"NP" ,17 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"YES" ,"302544" ,"NP" ,2 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"YES" ,"302544" ,"NP" ,51 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"NO" ,"302541" ,"NP" ,13 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"NO" ,"302541" ,"NP" ,1 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"NO" ,"302541" ,"NP" ,3 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - LAYCOCK" ,"302540" ,"NP" ,"NO" ,"302541" ,"NP" ,17 ,
"26" ,60 ,"County 4.3" ,"DISTRICT COURT - MCDADE" ,"302560" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
