"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM A" ,"080100" ,"NP" ,"GARY D. KOFFORD" ,"080102" ,"DEM" ,7 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM A" ,"080100" ,"NP" ,"GARY D. KOFFORD" ,"080102" ,"DEM" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM A" ,"080100" ,"NP" ,"GARY D. KOFFORD" ,"080102" ,"DEM" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM A" ,"080100" ,"NP" ,"GARY D. KOFFORD" ,"080102" ,"DEM" ,92 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM A" ,"080100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM A" ,"080100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM A" ,"080100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM A" ,"080100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM A" ,"080100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM A" ,"080100" ,"NP" ,"Write-in 30" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,567 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"JEFF W. HORROCKS" ,"080201" ,"REP" ,222 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"JEFF W. HORROCKS" ,"080201" ,"REP" ,21 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"JEFF W. HORROCKS" ,"080201" ,"REP" ,16 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"JEFF W. HORROCKS" ,"080201" ,"REP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"JEFF W. HORROCKS" ,"080201" ,"REP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"JEFF W. HORROCKS" ,"080201" ,"REP" ,259 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"EDWARD A. GEARY" ,"080202" ,"DEM" ,74 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"EDWARD A. GEARY" ,"080202" ,"DEM" ,4 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"EDWARD A. GEARY" ,"080202" ,"DEM" ,10 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"EDWARD A. GEARY" ,"080202" ,"DEM" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"EDWARD A. GEARY" ,"080202" ,"DEM" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"EDWARD A. GEARY" ,"080202" ,"DEM" ,88 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY COMM B" ,"080200" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Registered Voters" ,"" ,"NP" ,567 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"KRIS BELL" ,"080301" ,"REP" ,270 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"KRIS BELL" ,"080301" ,"REP" ,22 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"KRIS BELL" ,"080301" ,"REP" ,23 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"KRIS BELL" ,"080301" ,"REP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"KRIS BELL" ,"080301" ,"REP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"KRIS BELL" ,"080301" ,"REP" ,315 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ASSESSOR" ,"080300" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Registered Voters" ,"" ,"NP" ,567 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"DAVID A. BLACKWELL" ,"080401" ,"REP" ,254 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"DAVID A. BLACKWELL" ,"080401" ,"REP" ,19 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"DAVID A. BLACKWELL" ,"080401" ,"REP" ,23 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"DAVID A. BLACKWELL" ,"080401" ,"REP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"DAVID A. BLACKWELL" ,"080401" ,"REP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"DAVID A. BLACKWELL" ,"080401" ,"REP" ,296 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Write-in 20" ,"" ,"NP" ,4 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY ATTORNEY" ,"080400" ,"NP" ,"Write-in 20" ,"" ,"NP" ,6 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Registered Voters" ,"" ,"NP" ,567 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"BRENDA D. TUTTLE" ,"080501" ,"REP" ,270 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"BRENDA D. TUTTLE" ,"080501" ,"REP" ,24 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"BRENDA D. TUTTLE" ,"080501" ,"REP" ,24 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"BRENDA D. TUTTLE" ,"080501" ,"REP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"BRENDA D. TUTTLE" ,"080501" ,"REP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"BRENDA D. TUTTLE" ,"080501" ,"REP" ,318 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY CLERK/AUDITOR" ,"080500" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Registered Voters" ,"" ,"NP" ,567 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"DIXIE SWASEY" ,"080601" ,"REP" ,277 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"DIXIE SWASEY" ,"080601" ,"REP" ,24 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"DIXIE SWASEY" ,"080601" ,"REP" ,24 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"DIXIE SWASEY" ,"080601" ,"REP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"DIXIE SWASEY" ,"080601" ,"REP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"DIXIE SWASEY" ,"080601" ,"REP" ,325 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY RECORDER" ,"080600" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,3 ,"3.5,3.6" ,"COUNTY SHERIFF" ,"080700" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
